LADA,ESTADO,MUNICIPIO
676,DURANGO,GUADALUPEV
677,DURANGO,ABASOLO
686,BC,MEXICALI
687,SINALOA,GUASAVE
694,SINALOA,CONCORDIA
695,SINALOA,ESCUINAPA
696,SINALOA,COSALA
697,SINALOA,ANGOSTURA
698,SINALOA,CHOIX
711,MEXICO,ELORO
712,MEXICO,ATLACOMULCO
713,MEXICO,TIANGUISTEN
714,MEXICO,TENANCINGO
715,MICHOACAN,ZITACUARO
716,MEXICO,ALMOLOYADE
717,MEXICO,TENANGO
718,MEXICO,ACAMBAY
719,MEXICO,TEMOAYA
721,MEXICO,IXTAPANDEL
722,MEXICO,TOLUCA
723,MEXICO,COATEPEC
724,MEXICO,TEJUPILCO
725,MEXICO,ALMOLOYAD
726,MEXICO,AMANALCO
727,GUERRERO,ATENANGO
728,MEXICO,LERMA
731,MORELOS,YECAPIXTLA
732,GUERRERO,ARCELIA
733,GUERRERO,IGUALA
734,MORELOS,JOJUTLA
735,MORELOS,CUAUTLA
736,GUERRERO,APAXTLA
737,MORELOS,MIACATLAN
738,HIDALGO,ALFAJAYUCAN
739,MORELOS,TEPOZTLAN
741,GUERRERO,OMETEPEC
742,GUERRERO,ATOYAC
743,HIDALGO,ATITALAQUIA
744,GUERRERO,ACAPULCO
745,GUERRERO,AYUTLA
746,VERACRUZ,CHICONTEPEC
747,GUERRERO,CHILPANCING
748,HIDALGO,APAN
749,TLAXCALA,CALPULALPAN
751,MORELOS,PUENTE
753,MICHOACAN,LAZAROC
754,GUERRERO,APANGO
755,GUERRERO,IXTAPA
756,GUERRERO,ALCOZAUCA
757,GUERRERO,TLAPA
758,GUERRERO,PETATLAN
759,HIDALGO,IXMIQUILPAN
761,HIDALGO,HUICHAPAN
762,GUERRERO,TAXCO
763,HIDALGO,CHAPANTONG
764,PUEBLA,AHUACATLAN
765,VERACRUZ,ALAMO
766,VERACRUZ,GUTIERREZ
767,GUERRERO,CDALTAMIR
768,VERACRUZ,TAMIAHUA
769,MORELOS,AXOCHIAPAN
771,HIDALGO,PACHUCA
772,HIDALGO,ACTOPAN
773,HIDALGO,TULA
774,HIDALGO,AGUABLANCA
775,HIDALGO,TULANCINGO
776,HIDALGO,ACAXOCHITL
777,MORELOS,CUERNAVACA
778,HIDALGO,AJACUBA
779,HIDALGO,TIZAYUCA
781,GUERRERO,COYUCA
782,VERACRUZ,POZARICA
783,VERACRUZ,TUXPAN
784,VERACRUZ,PAPANTLA
785,VERACRUZ,CERROAZUL
786,MICHOACAN,CDHIDALGO
789,HIDALGO,HUEJUTLA
791,HIDALGO,CDSAHAGUN
797,PUEBLA,ZACATLAN
81,NUEVOLEON,MONTERREY
821,NUEVOLEON,LINARES
823,NUEVOLEON,GRALBRAVO
824,NUEVOLEON,SABINASH
825,NUEVOLEON,CIENEGADF
826,NUEVOLEON,ALLENDE
828,NUEVOLEON,CADEREYTA
829,NUEVOLEON,BUSTAMANTE
831,TAMAULIPAS,CDMANTE
832,TAMAULIPAS,JAUMAVE
833,TAMAULIPAS,TAMPICO
834,TAMAULIPAS,CDVICTORIA
835,TAMAULIPAS,ABASOLO
836,TAMAULIPAS,ESTACIONM
841,TAMAULIPAS,SANFERNANDO
842,COAHUILA,CONCEPCION
844,COAHUILA,SALTILLO
845,SLP,EBANO
846,VERACRUZ,PANUCO
861,COAHUILA,NUEVAROSIT
862,COAHUILA,ALLENDE
864,COAHUILA,MUZQUIZ
866,COAHUILA,MONCLOVA
867,TAMAULIPAS,NUEVOLAREDO
868,TAMAULIPAS,MATAMOROS
869,COAHUILA,CUATROCIEN
871,COAHUILA,TORREON
872,DURANGO,BERMEJILLO
873,NUEVOLEON,CDANAHUAC
877,COAHUILA,CDACUNA
878,COAHUILA,PIEDRASNE
891,TAMAULIPAS,CDALE
892,NUEVOLEON,AGUALEGUAS
894,TAMAULIPAS,VALLEHERM
897,TAMAULIPAS,CDMIER
899,TAMAULIPAS,REYNOSA
913,TABASCO,JONUTA
914,TABASCO,JALPADEMEN
916,CHIAPAS,PALENQUE
917,CHIAPAS,REFORMA
918,CHIAPAS,ACCOYAGUA
919,CHIAPAS,PICHUCALCO
921,VERACRUZ,COATZACOAL
922,VERACRUZ,COSOLEACA
923,VERACRUZ,AGUADULCE
924,VERACRUZ,ACAYUCAN
932,TABASCO,TACOTALPA
933,TABASCO,COMALCALCO
934,TABASCO,BALANCAN
936,TABASCO,MACUSPANA
937,TABASCO,CARDENAS
938,CAMPECHE,CDDELCARME
951,OAXACA,OAXACA
953,OAXACA,ACATLAN
954,OAXACA,PINOTEPA
958,OAXACA,HUATULCO
961,CHIAPAS,TUXTLA
962,CHIAPAS,TAPACHULA
963,CHIAPAS,COMITAN
964,CHIAPAS,HUEHUETAN
965,CHIAPAS,VILLAFLORE
966,CHIAPAS,ARRIAGA
967,CHIAPAS,SANCRI
968,CHIAPAS,CINTALAPA
969,YUCATAN,PROGRESO
971,OAXACA,JUCHITAN
972,OAXACA,MATIAS
981,CAMPECHE,CAMPECHE
982,CAMPECHE,ESCARCEGA
983,QUINTANAROO,CHETUMAL
984,QUINTANAROO,PLAYADELC
985,YUCATAN,VALLADOLID
986,YUCATAN,ESPITA
987,QUINTANAROO,COZUMEL
988,YUCATAN,ACANCEH
991,YUCATAN,MOTUL
992,CHIAPAS,VENUSTIANO
993,TABASCO,VILLAHERM
994,OAXACA,CHAHUITES
995,OAXACA,JALAPA
996,CAMPECHE,CALKINI
997,YUCATAN,AKIL
998,QUINTANAROO,CANCUN
999,YUCATAN,MERIDA
